NODE_ID,STATE_NAME,NEM_REGION,NEM_ZONE,VOLTAGE_KV,RRN,PROP_REG_D,LATITUDE,LONGITUDE
69,Queensland,QLD1,NQ,275,0,0.0006310383945304899,-19.888718083,147.207900929
70,Queensland,QLD1,NQ,132,0,0.0003940724391672102,-19.580663,147.064229
71,New South Wales,NSW1,NCEN,132,0,0.004876804819467933,-33.76167613,151.194065814
72,New South Wales,NSW1,NCEN,132,0,0.0009189029340760367,-33.6663129999999,151.002759
73,Australian Capital Territory,NSW1,CAN,132,0,0.0016963356954612337,-35.2695188289999,149.109032779
74,Australian Capital Territory,NSW1,CAN,132,0,0.007324005726967172,-35.2151291069999,149.037775438
75,Victoria,VIC1,CVIC,220,0,0.003708172506471557,-36.737651962,144.510810861
76,Victoria,VIC1,CVIC,220,0,0.0024288989576706763,-36.738229496,144.510620847
77,Tasmania,TAS1,TAS,110,0,0.0016877795576035076,-40.854058833,145.378079264
78,Tasmania,TAS1,TAS,110,0,0.010326951490465277,-40.848092993,145.131060876
79,New South Wales,NSW1,CAN,132,0,0.0022106132734127345,-33.849724,148.675785
80,New South Wales,NSW1,NCEN,132,0,0.0016982727434452511,-33.3652875399999,148.01966182
81,New South Wales,NSW1,NCEN,132,0,0.0015439919385314368,-33.1027340759999,148.074989925
82,New South Wales,NSW1,NCEN,132,0,0.0007085410999509739,-33.1798969709999,148.716948416
83,New South Wales,NSW1,NCEN,132,0,0.0009830152636170087,-33.466352888,148.992817715
84,Tasmania,TAS1,TAS,110,0,5.069107175672977e-05,-42.26689751,146.261758099
85,New South Wales,NSW1,NCEN,132,0,0.00041578724638505785,-33.0868895359999,148.898958408
86,Tasmania,TAS1,TAS,220,0,7.839780873968898e-05,-42.50642303,146.681162321
87,Tasmania,TAS1,TAS,220,0,3.116830867641265e-05,-42.4523811459999,146.597686664
88,Victoria,VIC1,LV,500,0,0.00908013565623205,-38.262303039,146.608084507
89,Queensland,QLD1,NQ,132,0,0.0023420363615384524,-20.101565685,146.280282395
90,Queensland,QLD1,SWQ,132,0,0.003742469556174909,-26.5781155,148.8399335
91,Queensland,QLD1,CQ,132,0,0.0015552779062359145,-23.4434029999999,150.5014755
92,New South Wales,NSW1,NCEN,132,0,0.004874739272402247,-33.84205166,150.911674939
93,New South Wales,NSW1,NCEN,330,0,4.914470169373166e-06,-33.403181111,150.080755047
94,New South Wales,NSW1,NCEN,132,0,0.003879179855680436,-33.5784680529999,150.705077607
95,Queensland,QLD1,NQ,132,0,2.406805592880052e-05,-21.691752783,148.210361506
96,Queensland,QLD1,SEQ,110,0,0.025623282892836604,-27.546467,153.2528405
97,Queensland,QLD1,SEQ,110,0,0.0008745423339739542,-27.5185549999999,153.489134
98,Queensland,QLD1,SEQ,110,0,0.0004727276676184595,-27.615862321,153.438988446
99,Queensland,QLD1,SEQ,110,0,0.0015396902688587827,-27.733449,153.327607
100,Queensland,QLD1,SEQ,110,0,0.0026887955773255263,-27.4478425,153.110508
101,South Australia,SA1,NSA,132,0,2.837698254980958e-05,-31.2347679759999,136.831520699
102,South Australia,SA1,NSA,132,0,4.591418251988674e-05,-31.147276201,136.801811115
103,Queensland,QLD1,SEQ,275,0,0.004338487984036041,-27.732275822,152.956373085
104,Queensland,QLD1,SEQ,110,0,0.004738870080397827,-27.04982811,152.916730239
105,Queensland,QLD1,SEQ,110,0,0.004871066517782765,-27.6116796049999,152.726698367
106,Queensland,QLD1,SWQ,110,0,0.0021289569404717573,-27.533195974,152.066299286
107,South Australia,SA1,NSA,275,0,0.0003910528791716163,-33.346642404,138.751867736
108,Queensland,QLD1,SEQ,132,0,0.013150232746790745,-27.4508395,152.971964
109,Queensland,QLD1,SEQ,275,0,0.0009755336678070978,-27.660065457,152.814452112
110,Queensland,QLD1,SEQ,275,0,0.00200490968525683,-27.5409779999999,152.7858575
111,Queensland,QLD1,SEQ,275,0,0.0005807755991612579,-27.655164234,152.818939657
112,Queensland,QLD1,SEQ,110,0,0.007807861960020946,-27.6306754999999,152.7788835
113,Queensland,QLD1,SEQ,110,0,0.002650326281337172,-27.573146849,152.71895903
114,Queensland,QLD1,SEQ,110,0,0.00017915438481763495,-27.6497518639999,152.814686565
115,Queensland,QLD1,SEQ,275,0,0.00039401479770296975,-27.647566,152.8121335
116,Queensland,QLD1,SEQ,110,0,0.011739954431700114,-27.0690655,152.9490425
117,Queensland,QLD1,SEQ,110,0,0.006186080777394358,-27.5634229999999,152.901540649
118,New South Wales,NSW1,SWNSW,132,0,0.0021786963659514076,-34.602531713,146.396478496
119,New South Wales,NSW1,SWNSW,330,0,8.711300598673908e-05,-34.648923,146.0351625
120,New South Wales,NSW1,SWNSW,132,0,0.0031014412405802913,-34.315532,146.109415
121,South Australia,SA1,ADE,275,0,0.046058985289395206,-34.847523247,138.580604119
122,South Australia,SA1,ADE,275,0,8.687430495127585e-06,-34.805171,138.52262
123,South Australia,SA1,ADE,275,0,0.08254005340040224,-34.735692,138.711882
124,South Australia,SA1,NSA,275,0,0.0006004565184146785,-34.461692403,138.76804426
