Voltage,$Z_{base}$,Min. Clearance,$D_{eq}$,$L$,$X_{L}$,$C_{N}$,$B_{N}$
110,121.0,1.0934782608695652,1.6402173913043478,0.001088497856731926,0.3419616870157254,1.0221668764106508e-08,3.2112319496745267e-06j
132,174.24,1.2522727272727272,1.878409090909091,0.001115617137056728,0.3504814601996294,9.973192569726412e-09,3.1331708509888807e-06j
220,484.0,1.8333333333333335,2.75,0.0011918522813226696,0.3744314371167534,9.335271422735485e-09,2.9327620120932536e-06j
275,756.25,2.2181818181818183,3.327272727272727,0.0012299626925087635,0.3864041758975053,9.046017907469447e-09,2.841890340234773e-06j
330,1089.0,2.6,3.9000000000000004,0.0012617274096140938,0.3963833560876517,8.818279175972438e-09,2.7703441076538866e-06j
400,1600.0,3.066666666666667,4.6000000000000005,0.0012947433596859834,0.40675562270736526,8.593413095126499e-09,2.6997003448911737e-06j
500,2500.0,3.8095238095238093,5.7142857142857135,0.001338125959998698,0.42038466855096995,8.314811067535402e-09,2.6121749365756325e-06j
