DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,GA_POWER_STATION_PLACEMARK_ID,GA_STATION_NAME,COMMENT
BUTLERSG,BUTLERSG,Butlers Gorge Power Station,TAS1,14,Hydro,NON-SCHEDULED,kml_172,Butlers Gorge,
BW01,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BW02,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BW03,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BW04,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BWTR1,BWTR1,Broadwater Power Station,NSW1,38,Bagasse,NON-SCHEDULED,kml_270,Broadwater,
CALL_A_4,CALLIDE,Callide Power Station,QLD1,30,Black coal,NON-SCHEDULED,kml_212,Callide A,
CALL_B_1,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,kml_211,Callide B,
CALL_B_2,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,kml_211,Callide B,
CALLNL1,CALLIDE,Callide Power Station,QLD1,25,Black coal,NON-SCHEDULED,kml_210,Callide C,Assuming CALLNL1 is located close to CALLIDEC
CALLNL4,CALLIDE,Callide Power Station,QLD1,30,Black coal,NON-SCHEDULED,kml_210,Callide C,Assuming CALLNL1 is located close to CALLIDEC
CAPTL_WF,CAPTL_WF,Capital Wind Farm,NSW1,140,Wind,NON-SCHEDULED,kml_116,Capital Hill Wind Farm,
CATHROCK,CATHROCK,CATHEDRAL ROCKS,SA1,66,Wind,NON-SCHEDULED,kml_58,Cathedral Rocks Wind Farm,
CBWF1,CBWF,Coonoer Bridge Wind Farm,VIC1,20,Wind,NON-SCHEDULED,kml_22,Challicum Hills Wind Farm,Coonoer Bridge Wind Farm is close to Challicum Hills Wind Farm
CESF1,CESF,Capital East Solar Farm,NSW1,1,Solar,NON-SCHEDULED,kml_480,Royalla Solar farm,Capital East Solar Farm is close to Royalla Solar Farm
CETHANA,CETHANA,Cethana Power Station,TAS1,85,Hydro,SCHEDULED,kml_8,Cethana,
CG1,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,kml_273,Colongra,
CG2,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,kml_273,Colongra,
CG3,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,kml_273,Colongra,
CG4,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,kml_273,Colongra,
CHALLHWF,CHALLWF,Challicum Hills Wind Farm,VIC1,53,,NON-SCHEDULED,kml_22,Challicum Hills Wind Farm,
CHPSTWF1,CHPSTWF,Chepstowe Wind Farm,VIC1,6,Wind,NON-SCHEDULED,kml_22,Challicum Hills Wind Farm,Chepstowe Wind Farm is close to Challicum Hills Wind Farm
CLAYTON,CLAYTON,Clayton Landfill Gas Power Station,VIC1,11,Landfill biogas methane,NON-SCHEDULED,kml_30,Claytons,
CLEMGPWF,CLEMGPWF,Clements Gap Wind Farm,SA1,57,Wind,SEMI-SCHEDULED,kml_97,Clements Gap Wind Farm,
CLOVER,CLOVER,CLOVER POWER STATION,VIC1,29,,NON-SCHEDULED,kml_153,Clover,
CLUNY,CLUNY,Cluny Power Station,TAS1,17,Hydro,NON-SCHEDULED,kml_170,Cluny,
CNUNDAWF,CANUNDA1,CANUNDA WIND FARM ,SA1,46,Wind,NON-SCHEDULED,kml_42,Canunda Wind Farm,
CODRNGTON,CODRGTON,Codrington Wind Farm,VIC1,18,Wind,NON-SCHEDULED,kml_16,Codrington Wind Farm,
CONDONG1,CONDONG1,Condong Power Station,NSW1,30,Bagasse,NON-SCHEDULED,kml_265,Condong Sugar Mill,
COPTNHYD,COPTNHYD,Copeton Hydro Power Station,NSW1,23,Hydro,NON-SCHEDULED,kml_303,Copeton,
CORIO1,CORIO,Corio Landfill Gas Power Station,VIC1,1,Landfill biogas methane,NON-SCHEDULED,kml_337,Corio,
CPP_3,CALLIDEC,CALLIDE C NETT OFF,QLD1,420,Black coal,SCHEDULED,kml_210,Callide C,
