DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,GA_POWER_STATION_PLACEMARK_ID,GA_STATION_NAME,COMMENT
MPP_2,MILLMERN,Millmerran Power Plant,QLD1,426,Black coal,SCHEDULED,kml_197,Millmerran,
MSTUART1,MSTUART,Mt Stuart Power Station,QLD1,144,Kerosene - non aviation,SCHEDULED,kml_199,Mount Stuart,
MSTUART2,MSTUART,Mt Stuart Power Station,QLD1,144,Kerosene - non aviation,SCHEDULED,kml_199,Mount Stuart,
MSTUART3,MSTUART,Mt Stuart Power Station,QLD1,131,Kerosene - non aviation,SCHEDULED,kml_199,Mount Stuart,
MTMILLAR,MTMILLAR,Mt Millar Wind Farm,SA1,70,Wind,NON-SCHEDULED,kml_129,Mount Millar Wind Farm,
MURAYNL1,MURRAY,Murray Power Station,VIC1,25,Hydro,NON-SCHEDULED,kml_157,Murray 1,Murray Power Station is in NSW
MURAYNL2,MURRAY,Murray Power Station,VIC1,25,Hydro,NON-SCHEDULED,kml_157,Murray 1,Murray Power Station is in NSW
MURAYNL3,MURRAY,Murray Power Station,VIC1,25,Hydro,NON-SCHEDULED,kml_157,Murray 1,Murray Power Station is in NSW
MURR1-1,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-10,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-2,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-3,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-4,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-5,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-6,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-7,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-8,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR1-9,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,kml_157,Murray 1,MURRAY1 Power Station is in NSW
MURR2-1,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,kml_156,Murray 2,MURRAY2 Power Station is in NSW
MURR2-2,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,kml_156,Murray 2,MURRAY2 Power Station is in NSW
MURR2-3,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,kml_156,Murray 2,MURRAY2 Power Station is in NSW
MURR2-4,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,kml_156,Murray 2,MURRAY2 Power Station is in NSW
MURRAY,MURRAY,Murray Power Station,VIC1,1500,Hydro,SCHEDULED,kml_157,Murray 1,Murray Power Station is in NSW
MUSSELR1,MUSSELRO,Musselroe Wind Farm,TAS1,168,Wind,SEMI-SCHEDULED,kml_178,Tamar Valley,"Musselroe Wind Farm is connected to the greater NEM network by a long radial transmission line extending from Launceston. This line is less than 100kV, and is removed in the network construction phase, causing the wind farm to be located more than 50km from its nearest node. Tamar Valley is located near the start of this long-radial line, and is reasonable to assume that generated at Musselroe would be injected into Tamar Valley. Consequently, while a GA entry for Musselroe does exist, Tamar Valley has been assigned instead."
NBHWF1,NBHWF,North Brown Hill Wind Farm,SA1,132,Wind,SEMI-SCHEDULED,kml_96,North Brown Hill  Wind Farm,
NINEWIL1,NINEWIL,Nine Network Willoughby Plant,NSW1,3,Diesel oil,NON-SCHEDULED,,,
NPS,NEWPORT,NEWPORT POWER STATION,VIC1,500,Natural Gas (Pipeline),SCHEDULED,kml_29,Newport,
NYNGAN1,NYNGAN,Nyngan Solar Plant,NSW1,102,Solar,SEMI-SCHEDULED,kml_474,Nyngan Solar Plant,
OAKEY1,OAKEY,OAKEY POWER STATION,QLD1,141,Natural Gas (Pipeline),SCHEDULED,kml_200,Oakey,
OAKEY2,OAKEY,OAKEY POWER STATION,QLD1,141,Natural Gas (Pipeline),SCHEDULED,kml_200,Oakey,
OAKLAND1,OAKLAND,Oaklands Hill Wind Farm,VIC1,67,Wind,SEMI-SCHEDULED,kml_93,Oakland Hills Wind Farm,
OAKY2,OAKY2,Oaky Creek 2,QLD1,15,Coal mine waste gas,NON-SCHEDULED,kml_201,Oaky Creek,Assuming Oaky Creek 2 is located close to Oaky Creek Power Station
OAKYCREK,OCPS,Oaky Creek Power Station,QLD1,20,Natural Gas (Pipeline),NON-SCHEDULED,kml_201,Oaky Creek,
OSB-AG,OSBORNE,OSBORNE POWER STATION,SA1,180,Natural Gas (Pipeline),SCHEDULED,kml_47,Osborne,
PALOONA,PALOONA,Paloona Power Station,TAS1,28,Hydro,NON-SCHEDULED,kml_11,Paloona,
PEDLER1,PEDLER,Pedler Creek Landfill Gas Power Station Units 1-3,SA1,3,,NON-SCHEDULED,kml_249,Pedler Creek,
PINDARI,PINDARI,Pindari Hydro Power Station,NSW1,6,Hydro,NON-SCHEDULED,kml_91,Pindari,
PIONEER,PIONEER,Pioneer Sugar Mill,QLD1,68,,NON-SCHEDULED,kml_121,Pioneer Sugar Mill,
PO110NL1,PTINA110,Poatina Power Station,TAS1,25,Hydro,NON-SCHEDULED,kml_14,Poatina,
POAT110,PTINA110,Poatina Power Station,TAS1,100,Hydro,SCHEDULED,kml_14,Poatina,
POAT220,PTINA220,Poatina Power Station,TAS1,200,Hydro,SCHEDULED,kml_14,Poatina,
POR01,PORTLCN,Port Lincoln Gas Turbine,SA1,50,Diesel oil,SCHEDULED,kml_57,Port Lincoln,
POR03,PORTLCN,Port Lincoln Gas Turbine,SA1,23,Diesel oil,SCHEDULED,kml_57,Port Lincoln,
PORTWF,PORTWF,Portland Wind Farm,VIC1,148,,NON-SCHEDULED,kml_159,Cape Nelson South Wind Farm,Cape Nelson South Wind Farm is close to Portland Wind Farm
PPCCGT,NPPPPS,Pelican Point Power Station,SA1,478,Natural Gas (Pipeline),SCHEDULED,kml_48,Pelican Point,
PTSTAN1,STANVAC,Pt Stanvac Power Station,SA1,58,Diesel oil,SCHEDULED,kml_346,Port Stanvac,
PUMP1,WIVENHOE,WIVENHOE POWER STATION,QLD1,240,Hydro,SCHEDULED,kml_184,Wivenhoe Hydroelectric,
PUMP2,WIVENHOE,WIVENHOE POWER STATION,QLD1,240,Hydro,SCHEDULED,kml_184,Wivenhoe Hydroelectric,
QPS1,QUARANTN,Quarantine Power Station,SA1,24,Natural Gas (Pipeline),SCHEDULED,kml_49,Quarantine,
QPS2,QUARANTN,Quarantine Power Station,SA1,24,Natural Gas (Pipeline),SCHEDULED,kml_49,Quarantine,
QPS3,QUARANTN,Quarantine Power Station,SA1,24,Natural Gas (Pipeline),SCHEDULED,kml_49,Quarantine,
QPS4,QUARANTN,Quarantine Power Station,SA1,24,Natural Gas (Pipeline),SCHEDULED,kml_49,Quarantine,
QPS5,QUARANTN,Quarantine Power Station,SA1,128,Natural Gas (Pipeline),SCHEDULED,kml_49,Quarantine,
RACOMIL1,RACOMIL,Racecourse Mill Power Station,QLD1,48,,NON-SCHEDULED,kml_489,Racecourse Mill,
REECE1,REECE,Reece Power Station,TAS1,116,Hydro,SCHEDULED,kml_6,Reece,
REECE2,REECE,Reece Power Station,TAS1,116,Hydro,SCHEDULED,kml_6,Reece,
REMOUNT,REMOUNT,Remount Power Station,TAS1,2,Landfill biogas methane,NON-SCHEDULED,kml_163,Remount,
REPULSE,REPULSE,Repulse Power Station,TAS1,28,Hydro,NON-SCHEDULED,kml_1,Repulse,
ROCHEDAL,ROCHEDAL,Rochedale Renewable Energy Facility,QLD1,4,Landfill biogas methane,NON-SCHEDULED,kml_138,Rochedale,
ROMA_7,ROMA,Roma Gas Turbine Station,QLD1,40,Natural Gas (Pipeline),SCHEDULED,kml_181,Roma,
ROMA_8,ROMA,Roma Gas Turbine Station,QLD1,40,Natural Gas (Pipeline),SCHEDULED,kml_181,Roma,
ROWALLAN,ROWALLAN,Rowallan Power Station,TAS1,11,Hydro,NON-SCHEDULED,kml_173,Rowallan,
ROYALLA1,ROYALLA,Royalla Solar Farm,NSW1,20,Solar,NON-SCHEDULED,kml_480,Royalla Solar farm,
RPCG,RPCG,Rocky Point Cogeneration Plant,QLD1,30,Biomass and industrial materials,NON-SCHEDULED,kml_128,Rocky Point Sugar Sugar Mill,
RT_NSW1,RT_NSW1,RESERVE TRADER NSW1,NSW1,3000,,SCHEDULED,,,
RT_QLD1,RT_QLD1,RESERVE TRADER QLD1,QLD1,3000,,SCHEDULED,,,
RT_SA1,RT_SA1,RESERVE TRADER SA1,SA1,3000,,SCHEDULED,,,
RT_SA2,RT_SA1,RESERVE TRADER SA1,SA1,3000,,SCHEDULED,,,
RT_SA3,RT_SA1,RESERVE TRADER SA1,SA1,3000,,SCHEDULED,,,
RT_SA4,RT_SA1,RESERVE TRADER SA1,SA1,3000,,SCHEDULED,,,
RT_SA5,RT_SA1,RESERVE TRADER SA1,SA1,3000,,SCHEDULED,,,
RT_SA6,RT_SA1,RESERVE TRADER SA1,SA1,3000,,SCHEDULED,,,
RT_TAS1,RT_TAS1,RESERVE TRADER TAS1,TAS1,3000,,SCHEDULED,,,
RT_VIC1,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC10,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC11,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC12,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC2,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC3,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC4,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC5,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC6,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC7,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC8,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RT_VIC9,RT_VIC1,RESERVE TRADER VIC1,VIC1,3000,,SCHEDULED,,,
RUBICON,RUBICON,Rubicon Mountain Streams Station,VIC1,13.55,,NON-SCHEDULED,kml_149,Rubicon,
SHEP1,SHEP1,Shepparton Wastewater Treatment Facility,VIC1,1,Biomass and industrial materials,NON-SCHEDULED,kml_23,Shepparton Biogas Generation Plant,
SHGEN,SHOALHAV,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,240,Hydro,SCHEDULED,kml_268,Bendeela (Shoalhaven Scheme),
SHPUMP,SHOALHAV,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,240,,SCHEDULED,kml_268,Bendeela (Shoalhaven Scheme),Assuming that pump and power station are co-located
SITHE01,SITHE,SMITHFIELD ENERGY FACILITY,NSW1,160,Natural Gas (Pipeline),SCHEDULED,kml_288,Smithfield Energy,
SNOWNTH1,SNOWNTH,Snowtown Wind Farm Stage 2 North,SA1,144,Wind,SEMI-SCHEDULED,kml_85,Snowtown North,
SNOWSTH1,SNOWSTH,Snowtown South Wind Farm,SA1,126,Wind,SEMI-SCHEDULED,kml_454,Snowtown South,
SNOWTWN1,SNOWTOWN,Snowtown Wind Farm Units 1 And 47,SA1,99,Wind,SEMI-SCHEDULED,kml_85,Snowtown North,
SNOWYGJP,SNWYGJP2,Jindabyne Pump At Guthega,VIC1,70,,NON-SCHEDULED,kml_305,Guthega,Jindabyne Pump at Guthega is in NSW
SNOWYP,SNOWY,Tumut 3 Pumps,NSW1,600,,SCHEDULED,kml_103,Tumut 3,
SNUG1,SNUG,SNUGGERY POWER STATION,SA1,63,Diesel oil,SCHEDULED,kml_43,Snuggery,
SNUG2,SNUG,SNUGGERY POWER STATION,SA1,21,,NON-SCHEDULED,kml_43,Snuggery,
SNUG3,SNUG,SNUGGERY POWER STATION,SA1,21,,NON-SCHEDULED,kml_43,Snuggery,
SNUGNL1,SNUG,SNUGGERY POWER STATION,SA1,25,Diesel oil,NON-SCHEDULED,kml_43,Snuggery,
STAN-1,STANWELL,STANWELL POWER STATION,QLD1,365,Black coal,SCHEDULED,kml_202,Stanwell,
STAN-2,STANWELL,STANWELL POWER STATION,QLD1,365,Black coal,SCHEDULED,kml_202,Stanwell,
STAN-3,STANWELL,STANWELL POWER STATION,QLD1,365,Black coal,SCHEDULED,kml_202,Stanwell,
STAN-4,STANWELL,STANWELL POWER STATION,QLD1,365,Black coal,SCHEDULED,kml_202,Stanwell,
STANNL1,STANWELL,STANWELL POWER STATION,QLD1,25,Black coal,NON-SCHEDULED,kml_202,Stanwell,
STARHLWF,STARFHILL,Starfish Hill Wind Farm,SA1,35,Wind,NON-SCHEDULED,kml_120,Starfish Hill Wind Farm,
STGEORG1,STGEORGE,St George Leagues Plant,NSW1,1,Diesel oil,NON-SCHEDULED,kml_319,St George Leagues Club,
STHBKTEC,STHBKTEC,Southbank Institute Of Technology Unit 1 Plant,QLD1,1,Diesel oil,NON-SCHEDULED,kml_459,Bulwer Island,Southbank Institute Of Technology Unit 1 Plant is close to Bulwer Island Power Station
SVALE1,SVALE,Springvale Landfill Gas Power Station,VIC1,5,Landfill biogas methane,NON-SCHEDULED,kml_31,Springvale,
SWAN_E,SWANBANK,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,385,Natural Gas (Pipeline),SCHEDULED,kml_183,Swanbank E,
TAHMOOR1,TAHMOOR,Tahmoor Waste Coal Mine Gas Power Station,NSW1,7,Coal mine waste gas,NON-SCHEDULED,kml_289,Tahmoor,
TALWA1,TALLAWAR,Tallawarra Power Station,NSW1,440,Natural Gas (Pipeline),SCHEDULED,kml_290,Tallawarra,
TARALGA1,TARALGA,Taralga Wind Farm,NSW1,106,Wind,SEMI-SCHEDULED,kml_289,Tahmoor,Taralga Wind Farm is close to Tahmoor Wast Coal Mine Gas Power Station
TARNL1,TARONG,TARONG POWER STATION,QLD1,25,Black coal,NON-SCHEDULED,kml_203,Tarong,
TARONG#1,TARONG,TARONG POWER STATION,QLD1,350,Black coal,SCHEDULED,kml_205,Tarong,
TARONG#2,TARONG,TARONG POWER STATION,QLD1,350,Black coal,SCHEDULED,kml_205,Tarong,
TARONG#3,TARONG,TARONG POWER STATION,QLD1,350,Black coal,SCHEDULED,kml_205,Tarong,
TARONG#4,TARONG,TARONG POWER STATION,QLD1,350,Black coal,SCHEDULED,kml_205,Tarong,
TARRALEA,TARRALEA,Tarraleah Power Station,TAS1,90,Hydro,SCHEDULED,kml_167,Tarraleah,
TATIARA1,TATIARA,Tataria Bordertown Plant,SA1,1,Diesel oil,NON-SCHEDULED,kml_378,Tatiara Meats,
TATURA01,TATURA,Tatura Biomass Generator,VIC1,1,Biomass and industrial materials,NON-SCHEDULED,kml_94,Tatura Biogas Generation Plant,
TERALBA,TERALBA,TERALBA POWER STATION,NSW1,3,Landfill biogas methane,NON-SCHEDULED,kml_291,Teralba,
TERMSTOR,TERMSTOR,Terminal Storage Mini Hydro Power Station,SA1,2,,NON-SCHEDULED,kml_126,Terminal Storage,
TGNSS1,TGNSS,Traralgon Network Support Station,VIC1,10,Natural Gas (Pipeline),NON-SCHEDULED,kml_476,Traralgon Network Support Station,
THEDROP1,THEDROP,The Drop Power Station,NSW1,3,Hydro,NON-SCHEDULED,kml_90,The Drop,
TITREE,TITREE,Veolia Ti Tree Bio Reactor,QLD1,2,Landfill biogas methane,NON-SCHEDULED,kml_136,Ti Tree Bioenergy,
TNPS1,TARONGN,Tarong North Power Station,QLD1,443,Black coal,SCHEDULED,kml_204,Tarong North,
TOORAWF,TOORAWF,TOORA WIND FARM,VIC1,21,Wind,NON-SCHEDULED,kml_135,Toora Wind Farm,
TORNL1,TORRIS,TORRENS ISLAND POWER STATION,SA1,100,Natural Gas (Pipeline),NON-SCHEDULED,kml_45,Torrens Island A,TORNL1 assigned to Torrens Island A. Could have also been assigned to Torrens Island B. Both stations are located next to each other.
TORRA1,TORRIS,TORRENS ISLAND POWER STATION,SA1,120,Natural Gas (Pipeline),SCHEDULED,kml_45,Torrens Island A,
TORRA2,TORRIS,TORRENS ISLAND POWER STATION,SA1,120,Natural Gas (Pipeline),SCHEDULED,kml_45,Torrens Island A,
TORRA3,TORRIS,TORRENS ISLAND POWER STATION,SA1,120,Natural Gas (Pipeline),SCHEDULED,kml_45,Torrens Island A,
TORRA4,TORRIS,TORRENS ISLAND POWER STATION,SA1,120,Natural Gas (Pipeline),SCHEDULED,kml_45,Torrens Island A,
TORRB1,TORRIS,TORRENS ISLAND POWER STATION,SA1,200,Natural Gas (Pipeline),SCHEDULED,kml_46,Torrens Island B,
TORRB2,TORRIS,TORRENS ISLAND POWER STATION,SA1,200,Natural Gas (Pipeline),SCHEDULED,kml_46,Torrens Island B,
TORRB3,TORRIS,TORRENS ISLAND POWER STATION,SA1,200,Natural Gas (Pipeline),SCHEDULED,kml_46,Torrens Island B,
TORRB4,TORRIS,TORRENS ISLAND POWER STATION,SA1,200,Natural Gas (Pipeline),SCHEDULED,kml_46,Torrens Island B,
TOWER,TOWER,Tower Power Plant,NSW1,41,Coal seam methane,NON-SCHEDULED,kml_293,Tower Mine,
TREVALLN,TREVALLN,Trevallyn Power Station,TAS1,93,Hydro,SCHEDULED,kml_13,Trevallyn,
TRIBNL1,TRIBUTE,Tribute Power Station,TAS1,25,Hydro,NON-SCHEDULED,kml_4,Tribute,
TRIBUTE,TRIBUTE,Tribute Power Station,TAS1,83,Hydro,SCHEDULED,kml_4,Tribute,
TUMT3NL1,SNOWY1,Tumut 3 Power Station,NSW1,25,Hydro,NON-SCHEDULED,kml_103,Tumut 3,
TUMT3NL2,SNOWY1,Tumut 3 Power Station,NSW1,25,Hydro,NON-SCHEDULED,kml_103,Tumut 3,
TUMT3NL3,SNOWY1,Tumut 3 Power Station,NSW1,25,Hydro,NON-SCHEDULED,kml_103,Tumut 3,
TUMUT1-1,TUMUT1,TUMUT1,NSW1,82.4,,NON-SCHEDULED,kml_294,Tumut 1 (Upper Tumut),
TUMUT1-2,TUMUT1,TUMUT1,NSW1,82.4,,NON-SCHEDULED,kml_294,Tumut 1 (Upper Tumut),
TUMUT1-3,TUMUT1,TUMUT1,NSW1,82.4,,NON-SCHEDULED,kml_294,Tumut 1 (Upper Tumut),
TUMUT1-4,TUMUT1,TUMUT1,NSW1,82.4,,NON-SCHEDULED,kml_294,Tumut 1 (Upper Tumut),
TUMUT2-1,TUMUT2,TUMUT2,NSW1,71.6,,NON-SCHEDULED,kml_295,Tumut 2 (Upper Tumut),
TUMUT2-2,TUMUT2,TUMUT2,NSW1,71.6,,NON-SCHEDULED,kml_295,Tumut 2 (Upper Tumut),
TUMUT2-3,TUMUT2,TUMUT2,NSW1,71.6,,NON-SCHEDULED,kml_295,Tumut 2 (Upper Tumut),
TUMUT2-4,TUMUT2,TUMUT2,NSW1,71.6,,NON-SCHEDULED,kml_295,Tumut 2 (Upper Tumut),
TUMUT3,SNOWY1,Tumut 3 Power Station,NSW1,1500,Hydro,SCHEDULED,kml_103,Tumut 3,
TUMUT3-1,TUMUT3,TUMUT3,NSW1,250,,NON-SCHEDULED,kml_103,Tumut 3,
TUMUT3-2,TUMUT3,TUMUT3,NSW1,250,,NON-SCHEDULED,kml_103,Tumut 3,
TUMUT3-3,TUMUT3,TUMUT3,NSW1,250,,NON-SCHEDULED,kml_103,Tumut 3,
TUMUT3-4,TUMUT3,TUMUT3,NSW1,250,,NON-SCHEDULED,kml_103,Tumut 3,
TUMUT3-5,TUMUT3,TUMUT3,NSW1,250,,NON-SCHEDULED,kml_103,Tumut 3,
TUMUT3-6,TUMUT3,TUMUT3,NSW1,250,,NON-SCHEDULED,kml_103,Tumut 3,
TUNGATIN,TUNGATIN,Tungatinah Power Station,TAS1,125,Hydro,SCHEDULED,kml_165,Tungatinah,
TVCC201,TVCCPS,Tamar Valley Combined Cycle Power Station,TAS1,208,Natural Gas (Pipeline),SCHEDULED,kml_178,Tamar Valley,
TVPP104,BBP31,Bell Bay Three Power Station,TAS1,58,Natural Gas (Pipeline),SCHEDULED,kml_12,Bell Bay (Bell Bay Three),
UPPTUMUT,SNOWY2,Tumut Power Station,NSW1,616,Hydro,SCHEDULED,kml_294,Tumut 1 (Upper Tumut),
URANQ11,URANQ,Uranquinty Power Station,NSW1,166,Natural Gas (Pipeline),SCHEDULED,kml_296,Uranquinty,
URANQ12,URANQ,Uranquinty Power Station,NSW1,166,Natural Gas (Pipeline),SCHEDULED,kml_296,Uranquinty,
URANQ13,URANQ,Uranquinty Power Station,NSW1,166,Natural Gas (Pipeline),SCHEDULED,kml_296,Uranquinty,
URANQ14,URANQ,Uranquinty Power Station,NSW1,166,Natural Gas (Pipeline),SCHEDULED,kml_296,Uranquinty,
VALDORA1,VALDORA,SCSF,QLD1,15,Solar,NON-SCHEDULED,kml_459,Bulwer Island,SCSF is close to Bulwer Island Power Station
VICMILL1,VICMILL,Victoria Mill,QLD1,24,,NON-SCHEDULED,kml_209,Victoria Sugar Mill,
VP5,VP,"Vales Point ""B"" Power Station",NSW1,660,Black coal,SCHEDULED,kml_297,Vales Point B,
VP6,VP,"Vales Point ""B"" Power Station",NSW1,660,Black coal,SCHEDULED,kml_297,Vales Point B,
VPGS1,VPGS,Valley Power Peaking Facility,VIC1,50,Natural Gas (Pipeline),SCHEDULED,kml_38,Valley (Peaking Facility),
VPGS2,VPGS,Valley Power Peaking Facility,VIC1,50,Natural Gas (Pipeline),SCHEDULED,kml_38,Valley (Peaking Facility),
VPGS3,VPGS,Valley Power Peaking Facility,VIC1,50,Natural Gas (Pipeline),SCHEDULED,kml_38,Valley (Peaking Facility),
VPGS4,VPGS,Valley Power Peaking Facility,VIC1,50,Natural Gas (Pipeline),SCHEDULED,kml_38,Valley (Peaking Facility),
VPGS5,VPGS,Valley Power Peaking Facility,VIC1,50,Natural Gas (Pipeline),SCHEDULED,kml_38,Valley (Peaking Facility),
VPGS6,VPGS,Valley Power Peaking Facility,VIC1,50,Natural Gas (Pipeline),SCHEDULED,kml_38,Valley (Peaking Facility),
VPNL1,VP,"Vales Point ""B"" Power Station",NSW1,25,Black coal,NON-SCHEDULED,kml_297,Vales Point B,
W/HOE#1,WIVENHOE,WIVENHOE POWER STATION,QLD1,250,Hydro,SCHEDULED,kml_184,Wivenhoe Hydroelectric,
W/HOE#2,WIVENHOE,WIVENHOE POWER STATION,QLD1,250,Hydro,SCHEDULED,kml_184,Wivenhoe Hydroelectric,
WATERLWF,WATERLWF,Waterloo Wind Farm,SA1,130,Wind,SEMI-SCHEDULED,kml_51,Waterloo Wind Farm,
WAUBRAWF,WAUBRAWF,WAUBRA WIND FARM,VIC1,192,Wind,NON-SCHEDULED,kml_21,Waubra Wind Farm,
WDLNGN01,WDLNGN,Woodlawn Bioreactor Energy Generation Station,NSW1,7,Landfill biogas methane,NON-SCHEDULED,kml_101,Woodlawn Bioreactor,
WESTCBT1,WESTCBT,Western Suburbs League Club (Campbelltown) Plant,NSW1,1,Diesel oil,NON-SCHEDULED,kml_301,Western Suburbs Leagues Club (Campbelltown),
WESTILL1,WESTILLA,West Illawarra Leagues Club Plant,NSW1,1,Diesel oil,NON-SCHEDULED,kml_300,West Illawarra Leagues Club,
WHILL1,WINDHILL,Windy Hill Wind Farm,QLD1,12,Wind,NON-SCHEDULED,kml_119,Windy Hill Wind Farm,
WHIT1,WHIT1,Whitwood Road Renewable Energy Facility,QLD1,1,Landfill biogas methane,NON-SCHEDULED,kml_134,Whitwood Road,
WILGAPK,WILGAPK,Wilga Park Power Station,NSW1,10,Coal seam methane,NON-SCHEDULED,kml_304,Wilga Park,
WILGB01,WILGAPKB,Wilga Park B,NSW1,6,Coal seam methane,NON-SCHEDULED,kml_304,Wilga Park,
WILLHOV1,WILLHOV,William Hovell Power Station,VIC1,2,Hydro,NON-SCHEDULED,kml_26,Lake William Hovell,
WINGF1_1,WINGF1,Wingfield 1 Landfill Gas Power Station,SA1,5,Landfill biogas methane,NON-SCHEDULED,kml_250,Wingfield I,
WINGF2_1,WINGF2,Wingfield 2 Landfill Gas Power Station,SA1,5,Landfill biogas methane,NON-SCHEDULED,kml_251,Wingfield II,
WIVENSH,WIVENSH,WIVENHOE SMALL HYDRO,QLD1,5,Hydro,NON-SCHEDULED,kml_125,Wivenhoe,
WKIEWA1,WKIEWA,WEST KIEWA POWER STATION,VIC1,31,Hydro,SCHEDULED,kml_155,West Kiewa (Mount Beauty Hydro Scheme),
WKIEWA2,WKIEWA,WEST KIEWA POWER STATION,VIC1,31,Hydro,SCHEDULED,kml_155,West Kiewa (Mount Beauty Hydro Scheme),
WOLLERT1,WOLLERT,Wollert Renewable Energy Facility,VIC1,7,Landfill biogas methane,NON-SCHEDULED,kml_133,Wollert,
WONWP,WONWP,Wonthaggi Wind Farm,VIC1,12,Wind,NON-SCHEDULED,kml_82,Wonthaggi Wind Farm,
WOODLWN1,WOODLWN,Woodlawn Wind Farm,NSW1,48,Wind,SEMI-SCHEDULED,kml_100,Woodlawn Wind Farm,
WOOLNTH1,WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,65,Wind,NON-SCHEDULED,kml_88,Bluff Point (Woolnorth) Wind Farm,
WOYWOY1,WOYWOY,Woy Woy Landfill Site,NSW1,1,Landfill biogas methane,NON-SCHEDULED,,,
WPWF,WPWF,Wattle Point Wind Farm,SA1,91,Wind,NON-SCHEDULED,kml_52,Wattle Point Wind Farm,
WRWF1,WRWF1,White Rock Wind Farm,NSW1,175,Wind,SEMI-SCHEDULED,kml_107,Lucas Heights I,White Rock Wind Farm is close to Lucas Heights I
WYA252B1,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,25,Hydro,NON-SCHEDULED,kml_171,Catagunya,
WYANGALA,WYANGALA,Wyangala A Power Station,NSW1,20,Hydro,NON-SCHEDULED,kml_98,Wyangala A,
WYANGALB,WYANGALB,Wyangala B Power Station,NSW1,4,Hydro,NON-SCHEDULED,kml_98,Wyangala A,Assuming Wyangala B is close to Wyangala A
WYB252B1,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,25,Hydro,NON-SCHEDULED,kml_171,Catagunya,
WYNDW,WYNDW,Wyndham Waste Disposal Facility,VIC1,1,Landfill biogas methane,NON-SCHEDULED,kml_132,Wyndham,
YABULU,YABULU,Townsville Gas Turbine,QLD1,160,Natural Gas (Pipeline),SCHEDULED,kml_206,Townsville,
YABULU2,YABULU,Townsville Gas Turbine,QLD1,82,Natural Gas (Pipeline),SCHEDULED,kml_206,Townsville,
YAMBUKWF,YAMBUK,YAMBUK WIND FARM,VIC1,30,Wind,NON-SCHEDULED,kml_17,Yambuk Wind Farm,
YARWUN_1,YARWUN,Yarwun Power Station,QLD1,154,Natural Gas (Pipeline),SCHEDULED,kml_207,Yarwun,
YWNGAHYD,YWNGAHYD,Yarrawonga Hydro Power Station,VIC1,9,Hydro,NON-SCHEDULED,kml_40,Yarrawonga,
