C,SETP.WORLD,DVD_DUDETAILSUMMARY,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202742,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,DUID,START_DATE,END_DATE,DISPATCHTYPE,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,LASTCHANGED,TRANSMISSIONLOSSFACTOR,STARTTYPE,DISTRIBUTIONLOSSFACTOR,MINIMUM_ENERGY_PRICE,MAXIMUM_ENERGY_PRICE,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2014/07/01 00:00:00","2015/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,HALLETT,"2016/06/21 13:42:04",0.9869,FAST,1,-986.90,13323.15,SCHEDULED,11,11,44,44,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2015/07/01 00:00:00","2016/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,HALLETT,"2016/06/24 12:41:01",0.9835,FAST,1,-983.50,13572.30,SCHEDULED,11,11,44,44,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2016/07/01 00:00:00","2017/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,HALLETT,"2017/06/26 10:54:12",0.99,FAST,1,-990,13860,SCHEDULED,12,12,44,44,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2017/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,HALLETT,"2017/06/26 10:54:12",0.9820,FAST,1,-982,13944.40,SCHEDULED,12,12,44,44,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2002/05/01 00:00:00","2002/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOLARIS,"2016/06/21 13:42:04",1.0015,"NOT DISPATCHED",1,-1001.50,10015,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2002/07/01 00:00:00","2003/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOLARIS,"2016/06/21 13:42:04",1.0027,"NOT DISPATCHED",1,-1002.70,10027,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2003/07/01 00:00:00","2004/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOLARIS,"2016/06/21 13:42:04",1.0026,"NOT DISPATCHED",1,-1002.60,10026,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2004/07/01 00:00:00","2005/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOLARIS,"2016/06/21 13:42:04",1.0019,"NOT DISPATCHED",1,-1001.90,10019,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2005/07/01 00:00:00","2006/03/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOLARIS,"2016/06/21 13:42:04",1.0038,"NOT DISPATCHED",1,-1003.80,10038,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLNOW1,"2006/03/01 00:00:00","2006/07/01 00:00:00",GENERATOR,NDT12,NSW1,AGLNOW1,SOUTHHYD,"2016/06/21 13:42:04",1.0038,"NOT DISPATCHED",1,-1003.80,10038,NON-SCHEDULED,0,0,,,
