C,SETP.WORLD,DVD_TRADINGINTERCONNECT,AEMO,PUBLIC,2017/07/08,02:20:00,0000000285202926,,0000000285202674
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 03:30:00",1,V-S-MNSP1,7,-6.34,-7.5,-0.28,"2017/06/01 03:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 03:30:00",1,V-SA,7,81.95,80.69,1.27,"2017/06/01 03:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 03:30:00",1,VIC1-NSW1,7,122.34,132.06,1.04,"2017/06/01 03:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:00:00",1,N-Q-MNSP1,8,-111.3,-111.67,1.75,"2017/06/01 03:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:00:00",1,NSW1-QLD1,8,-816.86,-824.9,43.7,"2017/06/01 03:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:00:00",1,T-V-MNSP1,8,-282.6,-268.67,8.66,"2017/06/01 03:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:00:00",1,V-S-MNSP1,8,-7.15,-7.5,-0.28,"2017/06/01 03:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:00:00",1,V-SA,8,65.35,72.22,1.11,"2017/06/01 03:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:00:00",1,VIC1-NSW1,8,109.26,129.51,0.83,"2017/06/01 03:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:30:00",1,N-Q-MNSP1,9,-110.42,-109,1.41,"2017/06/01 04:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:30:00",1,NSW1-QLD1,9,-769.18,-771.49,35.66,"2017/06/01 04:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:30:00",1,T-V-MNSP1,9,-241.6,-236.39,6.75,"2017/06/01 04:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:30:00",1,V-S-MNSP1,9,-14.07,-16.5,-0.42,"2017/06/01 04:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:30:00",1,V-SA,9,13.63,24.45,0.14,"2017/06/01 04:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 04:30:00",1,VIC1-NSW1,9,171.67,167.37,1.28,"2017/06/01 04:25:03"
