C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202740,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAIL,3,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_B_3,2,QSWB3,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_B_4,2,QSWB4,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_C,2,QSWC,275,26,N,GENERATOR,26,FAST,,,N,BATCH,"1998/11/02 12:11:42","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWANNL1,2,QSWX,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:42","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MM3,2,NMNP3,330,300,Y,GENERATOR,320,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MM4,2,NMNP4,330,300,Y,GENERATOR,320,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MMNL1,2,NMNPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MP1,2,NMTP1,330,660,Y,GENERATOR,750,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MP2,2,NMTP2,330,660,Y,GENERATOR,750,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MPNL1,2,NMPPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",VP5,2,NVPP5,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",VP6,2,NVPP6,330,660,Y,GENERATOR,700,SLOW,,,Y,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",VPNL1,2,NVPPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",WW7,2,NWW27,330,500,Y,GENERATOR,520,SLOW,,,Y,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",WW8,2,NWW28,330,500,Y,GENERATOR,520,SLOW,,,Y,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",WWNL1,2,NWWPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:44","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",JLA01,2,VJLGA1,220,57,N,GENERATOR,65,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",JLA03,2,VJLGA3,220,57,N,GENERATOR,65,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",JLA04,2,VJLGA4,220,57,N,GENERATOR,65,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",JLB01,2,VJLGB1,220,80,N,GENERATOR,90,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",JLB02,2,VJLGB2,220,80,N,GENERATOR,90,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",JLB03,2,VJLGB3,220,80,N,GENERATOR,90,FAST,,,N,BATCH,"1998/11/02 12:11:45","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",NPS,2,VNPS,220,500,Y,GENERATOR,530,SLOW,,,N,BATCH,"1998/11/02 12:11:46","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LOYYB1,2,VLYP5,500,500,Y,GENERATOR,600,SLOW,,,Y,BATCH,"1998/11/02 12:11:46","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",LOYYB2,2,VLYP6,500,500,Y,GENERATOR,600,SLOW,,,Y,BATCH,"1998/11/02 12:11:46","2008/12/10 09:21:25",N,N,,
