DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17
JLB01,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280.0,Natural Gas (Pipeline),Fossil,0.9057799999999999,SCHEDULED,76.0,0.0,360.0,360.0,360.0,360.0,1.0,1.0,7600.0,7600.0,7600.0,10.4,15.72052402,0.3,6.705029246,115.80657331654548
REECE2,REECE,Reece Power Station,TAS1,TAS,829.0,Hydro,Hydro,0.0,SCHEDULED,116.0,0.0,880.0,890.0,1800.0,1800.0,1.0,1.0,580.0,232.0,348.0,7.0,0.0,0.0,0.0,7.0
REECE1,REECE,Reece Power Station,TAS1,TAS,829.0,Hydro,Hydro,0.0,SCHEDULED,116.0,0.0,880.0,890.0,1800.0,1800.0,1.0,1.0,580.0,232.0,348.0,7.0,0.0,0.0,0.0,7.0
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,TAS,87.0,Hydro,Hydro,0.0,SCHEDULED,170.0,0.0,940.0,940.0,2480.0,2480.0,1.0,1.0,850.0,340.0,510.0,7.0,0.0,0.0,0.0,7.0
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,SWQ,661.0,Coal seam methane,Fossil,0.66977,SCHEDULED,168.0,0.0,430.0,430.0,460.0,460.0,1.0,1.0,16800.0,16800.0,16800.0,10.4,12.0,0.3,5.745362791,79.34435349200001
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,SWQ,661.0,Coal seam methane,Fossil,0.66977,SCHEDULED,168.0,0.0,430.0,430.0,460.0,460.0,1.0,1.0,16800.0,16800.0,16800.0,10.4,12.0,0.3,5.745362791,79.34435349200001
BRAEMAR3,BRAEMARA,Braemar Power Station,QLD1,SWQ,661.0,Coal seam methane,Fossil,0.66977,SCHEDULED,168.0,0.0,430.0,430.0,460.0,460.0,1.0,1.0,16800.0,16800.0,16800.0,10.4,12.0,0.3,5.745362791,79.34435349200001
LD04,LIDDELL,Liddell Power Station,NSW1,NCEN,245.0,Black coal,Fossil,1.02962,SCHEDULED,500.0,219.04761904761904,120.0,100.0,240.0,180.0,8.0,8.0,175000.0,20000.0,60000.0,1.0,10.65088757,0.1,1.463,16.58224851491
LD03,LIDDELL,Liddell Power Station,NSW1,NCEN,245.0,Black coal,Fossil,1.02962,SCHEDULED,500.0,219.04761904761904,120.0,100.0,240.0,180.0,8.0,8.0,175000.0,20000.0,60000.0,1.0,10.65088757,0.1,1.463,16.58224851491
LD01,LIDDELL,Liddell Power Station,NSW1,NCEN,245.0,Black coal,Fossil,1.02962,SCHEDULED,500.0,219.04761904761904,120.0,100.0,240.0,180.0,8.0,8.0,175000.0,20000.0,60000.0,1.0,10.65088757,0.1,1.463,16.58224851491
LD02,LIDDELL,Liddell Power Station,NSW1,NCEN,245.0,Black coal,Fossil,1.02962,SCHEDULED,500.0,219.04761904761904,120.0,100.0,240.0,180.0,8.0,8.0,175000.0,20000.0,60000.0,1.0,10.65088757,0.1,1.463,16.58224851491
VP5,VP,"Vales Point ""B"" Power Station",NSW1,NCEN,292.0,Black coal,Fossil,0.9537200000000001,SCHEDULED,660.0,250.8,130.0,210.0,290.0,220.0,8.0,8.0,231000.0,26400.0,79200.0,1.0,10.16949153,0.1,2.262,24.00338984086
VP6,VP,"Vales Point ""B"" Power Station",NSW1,NCEN,292.0,Black coal,Fossil,0.9537200000000001,SCHEDULED,660.0,250.8,130.0,210.0,290.0,220.0,8.0,8.0,231000.0,26400.0,79200.0,1.0,10.16949153,0.1,2.262,24.00338984086
